id	parent	iteration	status	description	n	sums	diffs	span	score	solver_seconds	evaluator_seconds	total_seconds	set_hash	artifact_sha256	candidate_count	selected_candidate_index	selected_candidate_seed
sol_0000			ok	official SimpleTES 17-element seed	17	59	55	29	1.0597930945472454	0.07392950000939891	0.027627207993646152	0.10393100000510458	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	3ba806afaa9a83aa96690e983f09e14f98d9978fdcb62661ad6ff597b0c63f0c			
sol_0001	sol_0000	0	ok	Run 32 deterministic exact-score annealing restarts over subsets of [0,80] with add, delete, and swap moves for 170 seconds.	23	83	77	41	1.0620992221002379	170.10880304100283	0.044354000012390316	170.15659945800144	ab5bb65f063db512fc8241dcffc6462464b34092a8d54cb918c8065732bcf434	2de560de1892015d7e7d6904fb6dd3bc35ea270acb2b0cbfb8f6cde81764360e	4	1	20260782782167
sol_0002	sol_0001	1	ok	Use four parent-seeded annealing trajectories on [0,120] with bounded compound symmetric-difference moves and the prescribed cooling schedule.	23	83	77	41	1.0620992221002379	170.08637179200014	0.024819833008223213	170.11282062499959	ab5bb65f063db512fc8241dcffc6462464b34092a8d54cb918c8065732bcf434	2de560de1892015d7e7d6904fb6dd3bc35ea270acb2b0cbfb8f6cde81764360e	4	1	20260783782170
sol_0003	sol_0001	2	ok	Search width-12 row-mask unions with 12 deterministic annealing restarts and coordinated copy, insertion, deletion, shift, and replacement moves.	24	107	95	53	1.0864587505555166	170.0543279160047	0.022581333003472537	170.0794082909997	85769c2e4a358c498fbbfb527d5a11852370f1815c82fe17437d842eea242690	114dd961306a7c5f9ac3f3e7ad1615559ad8d0aa04e12f1faf8a7b23bd5d77f6	4	2	20260784782174
sol_0004	sol_0003	3	ok	Anneal width, row count, and three endcap/core masks while repeating the middle mask exactly and enforcing the 512-element limit.	244	1430	1199	716	1.110664746323115	170.09089383399987	0.04178316699108109	170.13560949999373	900ccc14955704fe4c2db9b1f4d42c83d9fab1b7b473753758b011a947698c82	d5a8fc79c6b3c6288cb8692e72bdf9f49ad9a664ccb8e3c360121d9d6391b1f2	4	3	20260785782178
sol_0005	sol_0004	4	ok	Anneal two-to-eight independent masks at each boundary around a long repeated core while varying width and row count under the 512-element cap.	405	2395	2003	1198	1.111814562869239	168.1250882500026	0.05062987499695737	168.18115720800415	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	2	20260786782180
sol_0006	sol_0005	5	ok	Anneal 8–24 independent boundary rows over widths 3–8 and 50–140 rows, with copy/swap moves and the pinned parent as a safe baseline.	405	2395	2003	1198	1.111814562869239	168.1108050410112	0.035567416009143926	168.1485377909994	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260787782181
sol_0007	sol_0005	6	ok	Anneal 2–8 complementary masks across a periodic core with up to eight independently mutable rows at each end.	405	2395	2003	1198	1.111814562869239	167.1521087919973	0.05948274998809211	167.21488170800149	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260788782184
sol_0008	sol_0005	7	ok	Anneal independent sparse left and reflected right fringes around a mutable dense core using exact integer-bitset scoring and the pinned parent as fallback.	405	2395	2003	1198	1.111814562869239	168.085201666996	0.049464041003375314	168.13692033400002	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	1	20260789782188
sol_0009	sol_0005	8	ok	Anneal arbitrary 32-by-16 binary grids with carry-free embedding, exact bitset scoring, and cell, swap, rectangle, and row/column-copy moves while retaining the parent fallback.	405	2395	2003	1198	1.111814562869239	168.24930162499368	0.046583541989093646	168.29822375001095	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260790782190
